alpha,ambiguity,value,raw_value
0.0,P,0.6666666484836554,0.6666666484836554
0.0,Q,0.5000000000217538,0.5000000000217538
0.01,P,0.6531992759788414,0.6531992759788414
0.01,Q,0.489950208712206,0.489950208712206
0.02,P,0.6394564038261958,0.6394564038261958
0.02,Q,0.4798059599095703,0.4798059599095703
0.03,P,0.6254300165655875,0.6254300165655875
0.03,Q,0.46957434228830547,0.46957434228830547
0.04,P,0.6111119292186631,0.6111119292186631
0.04,Q,0.4592635010248267,0.4592635010248267
0.05,P,0.5964916114675052,0.5964916114675052
0.05,Q,0.4488844131304956,0.4488844131304956
0.06,P,0.5815613205472425,0.5815613205472425
0.06,Q,0.43845204434551127,0.43845204434551127
0.07,P,0.5663090004253366,0.5663090004253366
0.07,Q,0.42798616056691285,0.42798616056691285
0.08,P,0.5507253791211182,0.5507253791211182
0.08,Q,0.4175135626133746,0.4175135626133746
0.09,P,0.5347995438432116,0.5347995438432116
0.09,Q,0.40707175522155153,0.40707175522155153
0.1,P,0.5185188684992126,0.5185188684992126
0.1,Q,0.396715735513065,0.396715735513065
0.11,P,0.5018732294910684,0.5018732294910684
0.11,Q,0.38653196925543254,0.38653196925543254
0.12,P,0.4848492259085806,0.4848492259085806
0.12,Q,0.376672694551598,0.376672694551598
0.13,P,0.467433538246685,0.467433538246685
0.13,Q,0.36746888744921447,0.36746888744921447
0.14,P,0.44961308026328384,0.44961308026328384
0.14,Q,0.3601949186905543,0.3601949186905543
0.15,P,0.43137427003827966,0.43137427003827966
0.15,Q,0.3554094163724405,0.3554094163724405
0.16,P,0.41269913835474603,0.41269913835474603
0.16,Q,0.35076580547416847,0.35076580547416847
0.17,P,0.3935752528553209,0.3935752528553209
0.17,Q,0.34624866642323715,0.34624866642323715
0.18,P,0.3739842407540115,0.3739842407540115
0.18,Q,0.3418448817114407,0.3418448817114407
0.19,P,0.35391019858928896,0.35391019858928896
0.19,Q,0.3375430615488685,0.3375430615488685
0.2,P,0.3333342857737889,0.3333342857737889
0.2,Q,0.3333333333317552,0.3333333333317552
0.21,P,0.31223689141033395,0.31223689141033395
0.21,Q,0.32920699070305115,0.32920699070305115
0.22,P,0.29059996428966306,0.29059996428966306
0.22,Q,0.32515641462171085,0.32515641462171085
0.23,P,0.2684007168890412,0.2684007168890412
0.23,Q,0.3211748086564913,0.3211748086564913
0.24,P,0.24561494136509543,0.24561494136509543
0.24,Q,0.3172559838556358,0.3172559838556358
0.25,P,0.222224036860863,0.222224036860863
0.25,Q,0.3133944967766654,0.3133944967766654
0.26,P,0.21633433429311777,0.21633433429311777
0.26,Q,0.3095853403965494,0.3095853403965494
0.27,P,0.21052000648122937,0.21052000648122937
0.27,Q,0.305823980759948,0.305823980759948
0.28,P,0.2047731423817838,0.2047731423817838
0.28,Q,0.3021062785239069,0.3021062785239069
0.29,P,0.19908907162887224,0.19908907162887224
0.29,Q,0.2984284244926728,0.2984284244926728
0.3,P,0.19346395106034875,0.19346395106034875
0.3,Q,0.2947869034280808,0.2947869034280808
0.31,P,0.1878923863959242,0.1878923863959242
0.31,Q,0.29117845393770814,0.29117845393770814
0.32,P,0.18237158592177083,0.18237158592177083
0.32,Q,0.28760005361413055,0.28760005361413055
0.33,P,0.17689881708264177,0.17689881708264177
0.33,Q,0.2840488721911456,0.2840488721911456
0.34,P,0.17147054553988916,0.17147054553988916
0.34,Q,0.2805222410128484,0.2805222410128484
0.35,P,0.16608359166892583,0.16608359166892583
0.35,Q,0.27701766353603274,0.27701766353603274
0.36,P,0.16073716387393744,0.16073716387393744
0.36,Q,0.27353278848363227,0.27353278848363227
0.37,P,0.15542711549869137,0.15542711549869137
0.37,Q,0.2700653607141451,0.2700653607141451
0.38,P,0.15015295348695423,0.15015295348695423
0.38,Q,0.26661325182088835,0.26661325182088835
0.39,P,0.1449133363021321,0.1449133363021321
0.39,Q,0.26317442298477034,0.26317442298477034
0.4,P,0.13970622670288535,0.13970622670288535
0.4,Q,0.2597469259565659,0.2597469259565659
0.41,P,0.13453046311303551,0.13453046311303551
0.41,Q,0.25632887699150086,0.25632887699150086
0.42,P,0.129384897818845,0.129384897818845
0.42,Q,0.25291846538109897,0.25291846538109897
0.43,P,0.12427074100769775,0.12427074100769775
0.43,Q,0.24951393303155323,0.24951393303155323
0.44,P,0.1191857992303278,0.1191857992303278
0.44,Q,0.24611357439842751,0.24611357439842751
0.45,P,0.11413050949577119,0.11413050949577119
0.45,Q,0.24271572534936592,0.24271572534936592
0.46,P,0.1091044073770201,0.1091044073770201
0.46,Q,0.2393187590759156,0.2393187590759156
0.47,P,0.10410924801078625,0.10410924801078625
0.47,Q,0.23592107787082606,0.23592107787082606
0.48,P,0.09914540831080576,0.09914540831080576
0.48,Q,0.23252109638887974,0.23252109638887974
0.49,P,0.0942138042574927,0.0942138042574927
0.49,Q,0.22911730139952513,0.22911730139952513
0.5,P,0.08931601384367904,0.08931601384367904
0.5,Q,0.2257081056164998,0.2257081056164998
0.51,P,0.08445369725326468,0.08445369725326468
0.51,Q,0.22229202101044399,0.22229202101044399
0.52,P,0.07963026329591305,0.07963026329591305
0.52,Q,0.2188674961343704,0.2188674961343704
0.53,P,0.07484675492138715,0.07484675492138715
0.53,Q,0.21543301668248005,0.21543301668248005
0.54,P,0.07010834771353758,0.07010834771353758
0.54,Q,0.2119870551011036,0.2119870551011036
0.55,P,0.0654184405567092,0.0654184405567092
0.55,Q,0.20852807558361608,0.20852807558361608
0.56,P,0.06078174385398394,0.06078174385398394
0.56,Q,0.20505451152307397,0.20505451152307397
0.57,P,0.056204146801163035,0.056204146801163035
0.57,Q,0.20156484772447647,0.20156484772447647
0.58,P,0.05169116359089687,0.05169116359089687
0.58,Q,0.1980574502711323,0.1980574502711323
0.59,P,0.04725165959255978,0.04725165959255978
0.59,Q,0.19453071530128963,0.19453071530128963
0.6,P,0.04289241065390187,0.04289241065390187
0.6,Q,0.19098300545984292,0.19098300545984292
0.61,P,0.03862540490313554,0.03862540490313554
0.61,Q,0.18741262927975377,0.18741262927975377
0.62,P,0.03446115085574736,0.03446115085574736
0.62,Q,0.18381787140516126,0.18381787140516126
0.63,P,0.030412883924012923,0.030412883924012923
0.63,Q,0.18019698745643153,0.18019698745643153
0.64,P,0.026495356192133446,0.026495356192133446
0.64,Q,0.17654812808523368,0.17654812808523368
0.65,P,0.022727951161698567,0.022727951161698567
0.65,Q,0.17286942732067212,0.17286942732067212
0.66,P,0.019129482005886267,0.019129482005886267
0.66,Q,0.16915895069106845,0.16915895069106845
0.67,P,0.015724685212890555,0.015724685212890555
0.67,Q,0.1654147005528115,0.1654147005528115
0.68,P,0.0125412467935061,0.0125412467935061
0.68,Q,0.1616345775419159,0.1616345775419159
0.69,P,0.009610573201036587,0.009610573201036587
0.69,Q,0.15781642029257048,0.15781642029257048
0.7,P,0.006971705214921048,0.006971705214921048
0.7,Q,0.15395796913245263,0.15395796913245263
0.71,P,0.0046682653248411865,0.0046682653248411865
0.71,Q,0.15005686337563184,0.15005686337563184
0.72,P,0.0027513348715283575,0.0027513348715283575
0.72,Q,0.14611063208399377,0.14611063208399377
0.73,P,0.0012836171759708498,0.0012836171759708498
0.73,Q,0.14211668372156905,0.14211668372156905
0.74,P,0.0003377629659641196,0.0003377629659641196
0.74,Q,0.13807229448893743,0.13807229448893743
0.75,P,9.263041088081718e-06,9.263041088081718e-06
0.75,Q,0.1339745961558676,0.1339745961558676
0.76,P,2.8359717324052557e-06,2.8359717324052557e-06
0.76,Q,0.12982055918887658,0.12982055918887658
0.77,P,6.796410836181647e-06,6.796410836181647e-06
0.77,Q,0.1256069932474282,0.1256069932474282
0.78,P,6.0406615425642706e-06,6.0406615425642706e-06
0.78,Q,0.12133049963728637,0.12133049963728637
0.79,P,1.0022946680545802e-05,1.0022946680545802e-05
0.79,Q,0.11698748129290859,0.11698748129290859
0.8,P,5.805089410013658e-06,5.805089410013658e-06
0.8,Q,0.1125741122935966,0.1125741122935966
0.81,P,1.1020180187876074e-05,1.1020180187876074e-05
0.81,Q,0.10808631191921103,0.10808631191921103
0.82,P,1.1318000436140008e-05,1.1318000436140008e-05
0.82,Q,0.10351971979030283,0.10351971979030283
0.83,P,9.843581560487227e-06,9.843581560487227e-06
0.83,Q,0.0988696691139257,0.0988696691139257
0.84,P,9.402660326130556e-06,9.402660326130556e-06
0.84,Q,0.09413115128928196,0.09413115128928196
0.85,P,5.937893897528126e-06,5.937893897528126e-06
0.85,Q,0.0892987827285383,0.0892987827285383
0.86,P,9.351676728869752e-06,9.351676728869752e-06
0.86,Q,0.08436675202784638,0.08436675202784638
0.87,P,8.711492498654951e-06,8.711492498654951e-06
0.87,Q,0.07932877744687161,0.07932877744687161
0.88,P,8.803509493524417e-06,8.803509493524417e-06
0.88,Q,0.0741780413291111,0.0741780413291111
0.89,P,1.6137994249951187e-05,1.6137994249951187e-05
0.89,Q,0.06890710279138457,0.06890710279138457
0.9,P,1.1359109829455463e-05,1.1359109829455463e-05
0.9,Q,0.06350775803742525,0.06350775803742525
0.91,P,1.2561603937287772e-05,1.2561603937287772e-05
0.91,Q,0.05797075857545009,0.05797075857545009
0.92,P,3.0092853992653336e-05,3.0092853992653336e-05
0.92,Q,0.05228511250494794,0.05228511250494794
0.93,P,2.5983505776778337e-05,2.5983505776778337e-05
0.93,Q,0.04643617815462875,0.04643617815462875
0.94,P,6.525454986465288e-06,6.525454986465288e-06
0.94,Q,0.040400204322692534,0.040400204322692534
0.95,P,1.4796670024846947e-05,1.4796670024846947e-05
0.95,Q,0.034129125404177785,0.034129125404177785
0.96,P,3.5371124504933636e-05,3.5371124504933636e-05
0.96,Q,0.02751196675186307,0.02751196675186307
0.97,P,2.0698364962143735e-05,2.0698364962143735e-05
0.97,Q,0.02029226723124422,0.02029226723124422
0.98,P,1.9576527008550562e-05,1.9576527008550562e-05
0.98,Q,0.011937473267045196,0.011937473267045196
0.99,P,2.60158428822129e-05,2.60158428822129e-05
0.99,Q,0.0020746842455330317,0.0020746842455330317
